year,region,area,age_group,sex,value,unit,source
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,65-69 ปี,ชาย,195358,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,65-69 ปี,ชาย,170389,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,65-69 ปี,ชาย,231728,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,65-69 ปี,ชาย,97336,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,70-74 ปี,ชาย,500762,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,70-74 ปี,ชาย,144363,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,70-74 ปี,ชาย,356400,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,70-74 ปี,ชาย,42000,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,70-74 ปี,ชาย,123426,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,70-74 ปี,ชาย,115367,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,70-74 ปี,ชาย,157941,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,70-74 ปี,ชาย,62029,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,75 ปีขึ้นไป,ชาย,479034,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,75 ปีขึ้นไป,ชาย,145897,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,75 ปีขึ้นไป,ชาย,333138,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,75 ปีขึ้นไป,ชาย,46661,คน,สำนักงานสถิติแห่งชาติ
